url,title,author,num_reviews,num_ratings,avg_rating,num_pages,original_publish_year,genres,awards
https://www.goodreads.com/book/show/100915.The_Lion_the_Witch_and_the_Wardrobe,"The Lion, the Witch and the Wardrobe",C.S. Lewis,"23,500","2,239,654",4.22,206,1950,"['Fantasy', 'Classics', 'Fiction']","Lewis Carroll Shelf Award (1962), The Keith Barker Millennium Children's Book Awards 'Children's Book of the Century', Retro Hugo Award Nominee for Best Novel (2001)"
https://www.goodreads.com/book/show/18114322-the-grapes-of-wrath,The Grapes of Wrath,John Steinbeck,"18,077","777,236",3.98,479,1939,"['Classics', 'Fiction', 'Historical']","Pulitzer Prize for Novel (1940), National Book Award for Fiction (1939), California Book Award for General Literature (Silver) (1939), Audie Award for Classic (1999)"
https://www.goodreads.com/book/show/320.One_Hundred_Years_of_Solitude,One Hundred Years of Solitude,"Gabriel García Márquez, ","32,623","787,644",4.09,417,1967,"['Fiction', 'Classics', 'Magical Realism']","Premio Internacional de Novela Rómulo Gallegos (1972), Prix du Meilleur Livre Étranger for Roman (1969)"
https://www.goodreads.com/book/show/5129.Brave_New_World,Brave New World,Aldous Huxley,"32,961","1,509,340",3.99,268,1932,"['Classics', 'Fiction', 'Science Fiction']",
https://www.goodreads.com/book/show/18405.Gone_with_the_Wind,Gone with the Wind,Margaret Mitchell,"20,498","1,102,589",4.30,1037,1936,"['Classics', 'Historical', 'Historical Fiction']","Pulitzer Prize for Novel (1937), National Book Award for Novel (1936)"
https://www.goodreads.com/book/show/890.Of_Mice_and_Men,Of Mice and Men,John Steinbeck,"36,308","2,028,355",3.88,103,1937,"['Classics', 'Fiction', 'Academic']",New York Drama Critics' Circle Award for Best American Play (1938)
https://www.goodreads.com/book/show/5.Harry_Potter_and_the_Prisoner_of_Azkaban,Harry Potter and the Prisoner of Azkaban,"J.K. Rowling, ","59,254","3,004,282",4.57,435,1999,"['Fantasy', 'Young Adult', 'Fiction']","Bram Stoker Award for Best Work for Young Readers (1999), Hugo Award Nominee for Best Novel (2000), Locus Award for Best Fantasy Novel (2000), Whitbread Award for Children's Book of the Year (1999), Mythopoeic Fantasy Award for Children's Literature (2008)...moreBooks I Loved Best Yearly (BILBY) Awards for Older Readers (2005), Colorado Blue Spruce Young Adult Book Award (2004), Maine Student Book Award (2001), Golden Archer Award for Intermediate (2001), Indian Paintbrush Book Award (2004), Soaring Eagle Book Award (2002), Hotze de Roosprijs (2001), Nestlé Smarties Book Prize for 9–11 years (1999)...less "
https://www.goodreads.com/book/show/3636.The_Giver,The Giver,Lois Lowry (Goodreads Author),"67,045","1,885,107",4.13,208,1993,"['Young Adult', 'Fiction', 'Classics']","Newbery Medal (1994), Mythopoeic Fantasy Award Nominee for Children's Literature (1994), Golden Duck Award for Young Adult (Hal Clement Award) (1994), Garden State Book Award for Teen Fiction Grades 6-8 (1996), Buckeye Children's Book Award for Grade 6-8 (1997)...moreGrand Canyon Reader Award for Teen Book (1995), Maryland Black-Eyed Susan Book Award for Grade 6-9 (1995), Golden Sower Award for Young Adult (1995), Pennsylvania Young Readers' Choice Award for Grades 3-8 (1995), Soaring Eagle Book Award Nominee (1996), Pacific Northwest Library Association Young Reader's Choice Award for Senior (1996), Boston Globe-Horn Book Award Nominee for Fiction (1993), New Mexico Land of Enchantment Award (1997), Eliot Rosewater Indiana High School Book Award (1997), William Allen White Children's Book Award (1996), Wyoming Indian Paintbrush Nominee (1996), NSK Neustadt Prize for Children's Literature Nominee (2013), Oklahoma Sequoyah Award for YA (1996), Rebecca Caudill Young Readers' Book Award (1996), Hea Lasteraamat (2010), Premi Protagonista Jove for Categoria 13-14 anys (2016), Margaret A. Edwards Award (2007)...less "
https://www.goodreads.com/book/show/7624.Lord_of_the_Flies,Lord of the Flies,William Golding,"39,812","2,361,775",3.69,182,1954,"['Classics', 'Fiction', 'Young Adult']",
https://www.goodreads.com/book/show/4981.Slaughterhouse_Five,Slaughterhouse-Five,Kurt Vonnegut Jr.,"28,433","1,173,214",4.08,275,1969,"['Classics', 'Fiction', 'Science Fiction']","Hugo Award Nominee for Best SF Novel (1970), Nebula Award Nominee for Best Novel (1969), National Book Award Finalist for Fiction (1970), Chicago Publishers' Award (1970)"
https://www.goodreads.com/book/show/7604.Lolita,Lolita,"Vladimir Nabokov, ","26,221","689,396",3.89,331,1955,"['Classics', 'Fiction', 'Literature']",National Book Award Finalist for Fiction (1959)
